freq,unit,indic_de,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,INFMORRT,AD	0.0 	: 	: 	: 	: 	: 	: 	: 	1.8 	: 	: 	: 
A,RT,INFMORRT,AL	9.6 	8.7 	8.8 	7.9 	7.9 	7.1 	8.7 	8.0 	8.9 	10.3 	10.0 	8.4 
A,RT,INFMORRT,AM	11.4 	11.7 	: 	: 	8.7 	8.9 	8.7 	8.2 	7.1 	: 	7.3 	: 
A,RT,INFMORRT,AT	3.9 	3.6 	3.2 	3.1 	3.0 	3.1 	3.1 	2.9 	2.7 	2.9 	3.1 	2.7 
A,RT,INFMORRT,AZ	11.1 	10.8 	10.8 	10.8 	9.7 	12.2 	10.4 	11.8 	11.1 	11.0 	9.8 	: 
A,RT,INFMORRT,BA	6.4 	: 	5.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RT,INFMORRT,BE	3.6 	3.4 	3.8 	3.5 	3.4 	3.3 	3.2 	3.6 	3.8 	3.7 	3.3 	2.9 
A,RT,INFMORRT,BG	9.4 	8.5 	7.8 	7.3 	7.6 	6.6 	6.5 	6.4 	5.8 	5.6 	5.1 	5.6 
A,RT,INFMORRT,BY	4.0 	3.8 	3.3 	3.4 	3.5 	3.0 	3.2 	3.2 	2.5 	: 	: 	: 
A,RT,INFMORRT,CH	3.8 	3.8 	3.6 	3.9 	3.9 	3.9 	3.6 	3.5 	3.3 	3.3 	3.6 	3.1 
A,RT,INFMORRT,CY	3.2 	3.1 	3.5 	1.6 	2.1 	2.7 	2.6 	1.3 	2.4 	2.6 	2.1 	2.7 
A,RT,INFMORRT,CZ	2.7 	2.7 	2.6 	2.5 	2.4 	2.5 	2.8 	2.7 	2.6 	2.6 	2.3 	2.2 
A,RT,INFMORRT,DE	3.4 	3.6 	3.3 	3.3 	3.2 	3.3 	3.4 	3.3 	3.2 	3.2 	3.1 	3.0 
A,RT,INFMORRT,DK	3.4 	3.5 	3.4 	3.5 	4.0 	3.7 	3.1 	3.8 	3.7 	3.0 	3.2 	3.1 
A,RT,INFMORRT,EA19	3.4 	3.4 	3.3 	3.3 	3.2 	3.3 	3.3 	3.3 	3.3 	3.2 	3.1 	3.0 
A,RT,INFMORRT,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.0 
A,RT,INFMORRT,EE	3.3 	2.5 	3.6 	2.1 	2.7 	2.5 	2.3 	2.3 	1.6 	1.6 	1.4 	2.2 
A,RT,INFMORRT,EL	3.8 	3.4 	2.9 	3.7 	3.7 	4.0 	4.2 	3.5 	3.5 	3.7 	3.2 	3.5 
A,RT,INFMORRT,ES	3.2 	3.1 	3.1 	2.7 	2.8 	2.7 	2.7 	2.7 	2.7 	2.6 	2.6 	2.5 
A,RT,INFMORRT,EU27_2007	4.0 	3.9 	3.8 	3.7 	3.6 	3.6 	3.6 	3.6 	3.5 	: 	: 	: 
A,RT,INFMORRT,EU27_2020	4.0 	3.8 	3.8 	3.7 	3.6 	3.6 	3.6 	3.5 	3.4 	3.4 	3.3 	3.2 
A,RT,INFMORRT,EU28	4.0 	3.9 	3.8 	3.7 	3.7 	3.6 	3.6 	3.6 	3.5 	: 	: 	: 
A,RT,INFMORRT,FI	2.3 	2.4 	2.4 	1.8 	2.2 	1.7 	1.9 	2.0 	2.1 	2.1 	1.8 	1.8 
A,RT,INFMORRT,FR	3.6 	3.5 	3.5 	3.6 	3.5 	3.7 	3.7 	3.9 	3.8 	3.8 	3.6 	3.7 
A,RT,INFMORRT,FX	3.5 	3.3 	3.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,RT,INFMORRT,GE	11.2 	12.1 	: 	11.1 	9.5 	8.6 	9.0 	9.6 	8.1 	7.9 	7.9 	: 
A,RT,INFMORRT,HR	4.4 	4.7 	3.6 	4.1 	5.0 	4.1 	4.3 	4.0 	4.2 	4.0 	4.0 	3.8 
A,RT,INFMORRT,HU	5.3 	4.9 	4.9 	5.0 	4.5 	4.2 	3.9 	3.5 	3.3 	3.6 	3.4 	3.3 
A,RT,INFMORRT,IE	3.6 	3.5 	3.5 	3.6 	3.3 	3.4 	3.0 	3.0 	2.9 	2.8 	3.0 	3.2 
A,RT,INFMORRT,IS	2.2 	0.9 	1.1 	1.8 	2.1 	2.2 	0.7 	2.7 	1.7 	1.1 	2.9 	3.3 
A,RT,INFMORRT,IT	3.0 	2.9 	2.9 	2.9 	2.8 	2.9 	2.8 	2.7 	2.8 	2.4 	2.4 	2.3 
A,RT,INFMORRT,LI	3.0 	2.5 	8.4 	5.9 	2.7 	6.2 	2.6 	0.0 	0.0 	0.0 	5.7 	5.3 
A,RT,INFMORRT,LT	5.0 	4.8 	3.9 	3.7 	3.9 	4.2 	4.5 	3.0 	3.4 	3.3 	2.8 	3.1 
A,RT,INFMORRT,LU	3.4 	4.3 	2.5 	3.9 	2.8 	2.8 	3.8 	3.2 	4.3 	4.7 	4.5 	3.1 
A,RT,INFMORRT,LV	5.6 	6.6 	6.3 	4.4 	3.8 	4.1 	3.7 	4.1 	3.2 	3.4 	3.5 	2.7 
A,RT,INFMORRT,MD	11.8 	11.0 	10.2 	9.5 	9.6 	: 	9.4 	: 	: 	: 	8.7 	: 
A,RT,INFMORRT,ME	6.7 	4.4 	4.4 	4.4 	4.9 	2.2 	3.4 	1.3 	1.7 	2.4 	2.8 	1.4 
