country,ccode,ccode_gw,ccode_polity,year,month,day,coup,version
Cuba,40,NA,NA,1952,3,10,2,V2022.11.29
Cuba,40,NA,NA,1957,9,5,1,V2022.11.29
Haiti,41,NA,NA,1950,5,10,2,V2022.11.29
Haiti,41,NA,NA,1956,12,12,2,V2022.11.29
Haiti,41,NA,NA,1957,4,2,2,V2022.11.29
Haiti,41,NA,NA,1957,5,21,2,V2022.11.29
Haiti,41,NA,NA,1957,6,14,2,V2022.11.29
Haiti,41,NA,NA,1970,4,24,1,V2022.11.29
Haiti,41,NA,NA,1986,2,7,2,V2022.11.29
Haiti,41,NA,NA,1988,6,20,2,V2022.11.29
Haiti,41,NA,NA,1988,9,18,2,V2022.11.29
Haiti,41,NA,NA,1989,4,2,1,V2022.11.29
Haiti,41,NA,NA,1989,4,5,1,V2022.11.29
Haiti,41,NA,NA,1991,1,7,1,V2022.11.29
Haiti,41,NA,NA,1991,9,30,2,V2022.11.29
Dominican Republic,42,NA,NA,1962,1,16,1,V2022.11.29
Dominican Republic,42,NA,NA,1963,9,25,2,V2022.11.29
Dominican Republic,42,NA,NA,1965,4,25,2,V2022.11.29
Dominican Republic,42,NA,NA,1965,11,22,1,V2022.11.29
Dominica,54,NA,NA,1981,12,19,1,V2022.11.29
Grenada,55,NA,NA,1979,3,13,2,V2022.11.29
Grenada,55,NA,NA,1983,10,14,2,V2022.11.29
Guatemala,90,NA,NA,1954,6,29,2,V2022.11.29
Guatemala,90,NA,NA,1955,1,20,1,V2022.11.29
Guatemala,90,NA,NA,1957,10,24,2,V2022.11.29
Guatemala,90,NA,NA,1960,11,13,1,V2022.11.29
Guatemala,90,NA,NA,1962,11,25,1,V2022.11.29
Guatemala,90,NA,NA,1963,3,30,2,V2022.11.29
Guatemala,90,NA,NA,1982,3,23,2,V2022.11.29
Guatemala,90,NA,NA,1983,8,8,2,V2022.11.29
Guatemala,90,NA,NA,1988,5,11,1,V2022.11.29
Guatemala,90,NA,NA,1989,5,9,1,V2022.11.29
Honduras,91,NA,NA,1956,8,1,1,V2022.11.29
Honduras,91,NA,NA,1956,10,21,2,V2022.11.29
Honduras,91,NA,NA,1959,7,12,1,V2022.11.29
Honduras,91,NA,NA,1963,10,3,2,V2022.11.29
Honduras,91,NA,NA,1972,12,4,2,V2022.11.29
